Models,n-shot,mmlu_original_humanities_accuracy,mmlu_original_humanities_stderr,mmlu_original_socialsciences_accuracy,mmlu_original_socialsciences_stderr,mmlu_original_stem_accuracy,mmlu_original_stem_stderr,mmlu_original_others_accuracy,mmlu_original_others_stderr,mmlu_original_avg_accuracy,mmlu_original_avg_stderr,mmlu_dgen_humanities_accuracy,mmlu_dgen_humanities_stderr,mmlu_dgen_socialsciences_accuracy,mmlu_dgen_socialsciences_stderr,mmlu_dgen_stem_accuracy,mmlu_dgen_stem_stderr,mmlu_dgen_others_accuracy,mmlu_dgen_others_stderr,mmlu_dgen_avg_accuracy,mmlu_dgen_avg_stderr
EleutherAI/gpt-neo-1.3B,0,0.2597,0.0064,0.2883,0.0081,0.2788,0.0079,0.2391,0.0077,0.2657,0.0037,0.2436,0.0063,0.2236,0.0075,0.2296,0.0075,0.2259,0.0075,0.2322,0.0036
,5,0.2446,0.0063,0.232,0.0076,0.2547,0.0077,0.2424,0.0077,0.2436,0.0036,0.2361,0.0062,0.2333,0.0076,0.2407,0.0076,0.2253,0.0075,0.2342,0.0036
EleutherAI/gpt-neo-2.7B,0,0.247,0.0063,0.2379,0.0077,0.2502,0.0077,0.2633,0.0079,0.2493,0.0036,0.2393,0.0062,0.2792,0.0081,0.2705,0.0079,0.2642,0.0079,0.2606,0.0037
,5,0.2559,0.0064,0.2756,0.008,0.2598,0.0078,0.2794,0.008,0.2663,0.0037,0.2414,0.0062,0.2447,0.0077,0.2648,0.0078,0.2491,0.0077,0.2491,0.0036
google/gemma-2-2b,0,0.4442,0.007,0.5746,0.0087,0.4291,0.0086,0.5649,0.0087,0.4961,0.0041,0.4457,0.0071,0.5382,0.0088,0.4282,0.0086,0.5156,0.0088,0.4775,0.0041
,5,0.4799,0.007,0.6289,0.0085,0.4611,0.0086,0.5842,0.0086,0.5314,0.004,0.4378,0.007,0.559,0.0088,0.4342,0.0086,0.5307,0.0088,0.4841,0.0041
google/gemma-2-2b-it,0,0.5073,0.0068,0.6724,0.0082,0.4875,0.0086,0.644,0.0083,0.5693,0.0039,0.495,0.0071,0.6107,0.0086,0.4722,0.0087,0.5819,0.0086,0.5345,0.0041
,5,0.5027,0.0068,0.6763,0.0082,0.491,0.0086,0.6337,0.0084,0.5671,0.0039,0.5037,0.0072,0.6084,0.0086,0.4608,0.0086,0.5671,0.0087,0.531,0.0041
meta-llama/Llama-3.2-3B,0,0.4874,0.0068,0.6243,0.0085,0.4478,0.0086,0.6312,0.0083,0.5403,0.004,0.4389,0.0068,0.5821,0.0088,0.4272,0.0085,0.5555,0.0087,0.4934,0.004
,5,0.5137,0.0069,0.6461,0.0084,0.4745,0.0086,0.635,0.0083,0.5607,0.004,0.4725,0.007,0.6042,0.0087,0.4602,0.0086,0.5652,0.0087,0.5191,0.0041
meta-llama/Llama-3.2-3B-Instruct,0,0.5919,0.007,0.6698,0.0083,0.5011,0.0086,0.6585,0.0082,0.6033,0.004,0.5322,0.0071,0.6373,0.0085,0.4995,0.0087,0.6144,0.0085,0.5661,0.0041
,5,0.5656,0.007,0.6805,0.0082,0.5106,0.0086,0.6505,0.0083,0.5972,0.004,0.5411,0.0072,0.6422,0.0085,0.4954,0.0086,0.6015,0.0086,0.5664,0.0041
lmsys/vicuna-7b-v1.5,0,0.4546,0.007,0.5596,0.0087,0.3907,0.0085,0.5623,0.0087,0.4871,0.004,0.4489,0.0071,0.5249,0.0089,0.3873,0.0085,0.504,0.0088,0.4639,0.0041
,5,0.4563,0.0069,0.5817,0.0087,0.398,0.0085,0.58,0.0086,0.4981,0.004,0.4285,0.007,0.5421,0.0088,0.392,0.0086,0.513,0.0088,0.4639,0.0041
Qwen/Qwen2.5-7B,0,0.6261,0.0064,0.8271,0.0067,0.7025,0.0079,0.7676,0.0072,0.7186,0.0035,0.5987,0.0068,0.7585,0.0076,0.6213,0.0084,0.693,0.008,0.6597,0.0038
,5,0.6806,0.0065,0.8395,0.0065,0.7117,0.0078,0.7718,0.0072,0.7426,0.0035,0.6542,0.0068,0.7615,0.0076,0.6407,0.0083,0.6878,0.0081,0.6821,0.0038
Qwen/Qwen2.5-7B-Instruct,0,0.637,0.0066,0.8271,0.0067,0.6851,0.008,0.765,0.0073,0.7178,0.0036,0.6121,0.0068,0.7546,0.0077,0.6077,0.0084,0.6859,0.0081,0.6587,0.0039
,5,0.6818,0.0065,0.8391,0.0065,0.7063,0.0078,0.7715,0.0073,0.7416,0.0035,0.657,0.0068,0.7628,0.0076,0.6226,0.0084,0.693,0.0081,0.6804,0.0038
mistralai/Mistral-7B-v0.3,0,0.5341,0.0067,0.6932,0.0081,0.4932,0.0086,0.6756,0.0081,0.5911,0.0039,0.4833,0.0068,0.6331,0.0085,0.4646,0.0087,0.617,0.0085,0.5415,0.004
